name,price (€),price_per_kg
BRILLANTE Arròs rodó tradicional XL,1.95,4.88
BRILLANTE Arròs integral amb quinoa,1.49,5.96
MONTSIA Arròs rodó extra,1.93,1.93
BRILLANTE Arròs integral amb xia,1.49,5.96
SEGADORS DELTA Arròs extra,2.15,2.15
NOMEN Arròs bomba selecció,5.29,5.29
BRILLANTE Arròs llarg XL,1.95,4.88
NOMEN Arròs llarg,1.39,1.39
BONPREU Arròs extra,1.3,1.3
NOMEN Arròs rodó,1.89,1.89
BRILLANTE Arròs basmati,1.34,5.36
BRILLANTE Arròs rodó tradicional,1.25,5.0
BRILLANTE Arròs integral,1.25,5.0
BONPREU Arròs llarg,1.35,1.35
BONPREU Arròs basmati,2.2,2.2
NOMEN Arròs rodó,1.15,2.3
TILDA Arròs basmati original,3.49,3.49
BONPREU Arròs bomba,5.09,5.09
BONPREU Arròs integral,1.65,1.65
SOS Arròs integral tradicional,1.89,1.89
AVI TRIAS Arròs de Pals Km0,3.29,3.29
SCOTTI Arròs per risotto,1.86,3.72
BONPREU Arròs llarg vaporitzat,1.65,1.65
SABROZ Arròs rodó,2.79,2.79
ILLA DE BUDA Arròs bomba,6.45,6.45
SOS Arròs especial amanides,1.45,2.9
NOMEN Arròs rodó ecològic,2.99,2.99
NOMEN Arròs integral,1.99,1.99
BONPREU Arròs integral ecològic,1.69,3.38
NOMEN Arròs basmati,3.45,3.45
NOMEN Arròs integral amb verdures,1.95,6.96
BONPREU Arròs basmati integral ecològic,2.35,4.7
NOMEN Arròs integral amb quinoa,1.95,6.96
TILDA Arròs Thai Jasmine,3.49,3.49
TILDA Arròs especial sushi,1.9,3.8
AVI TRIAS Arròs integral de Pals Km0,3.19,3.19
NOMEN Blat tendre,2.99,5.98
BRILLANTE Arròs vaporitzat,1.98,1.98
NOMEN Arròs basmati XL,2.29,5.73
BONPREU Barreja d'arrossos ecològics,3.29,8.23
NOMEN Arròs paella,4.99,4.99
TILDA Arròs basmati integral,3.95,3.95
NOMEN Arròs bomba caldós,5.99,5.99
ILLA DE BUDA Arròs marisma extra,3.95,3.95
SCOTTI Arròs negre Venere,2.95,5.9
BONPREU Llenties pardines,1.05,2.1
LUENGO Mongeta blanca,2.04,4.08
BONPREU Cigrons blancs,1.25,2.5
MANS Llentia pardina ecològica,4.49,8.98
BONPREU Mongetes blanques,1.25,2.5
ECOBASICS Cigrons pedrosillano ecològics,2.25,4.5
BONPREU Llenties Laird,1.05,2.1
LUENGO Cigrons lletosos,2.19,4.38
Cigronet ecològic,3.99,7.98
LUENGO Cigró mitjans,3.65,3.65
BONPREU Mongetes vermelles,1.49,2.98
BONPREU Mongetes blanques,2.49,2.49
BONPREU Cigrons,2.19,2.19
BONPREU Cigrons blancs,2.49,2.49
VEGAS BANEZANAS Cigrons,2.25,4.5
ECOBASICS Mongetes blanques ecològiques,2.95,5.9
MANS Cigrons cuits ecològics Km0,3.59,11.97
LUENGO Soja,1.66,3.32
BONPREU Soja verda ecològica,2.99,5.98
LUENGO Llentia pardina,2.05,4.1
IFA Soja texturitzada,2.25,9.0
BONPREU Llenties vermelles ecològiques,2.49,4.98
LUENGO Llenties pardines,3.99,3.99
BONPREU Llenties crimson,1.65,1.65
BONPREU Cigrons Pedrosillano,1.89,1.89
LUENGO Llenties ràpides,1.99,3.98
VEGAS BANEZANAS Llentia pardina,2.19,4.38
ECOBASICS Llenties pardina ecològiques,2.99,5.98
BONPREU Llenties ràpides,1.15,2.3
BONPREU Cigrons,1.1,2.2
LUENGO Mongetes negreta,1.56,3.12
LUENGO Cigrons,2.07,4.14
BUITONI Base per a pizza Finíssima rectangular,1.87,7.19
RANA Gnocchi fresc de patata,2.25,5.63
RANA Raviolis farcits de pollastre rostit,2.85,11.4
RANA Raviolis 4 formatges,2.85,11.4
BUITONI Raviolis farcits de carn brasejada,2.99,13.0
BUITONI Tortel·linis farcits de riccota i espinacs,2.99,13.0
BUITONI Cappelletti farcits de pernil,2.99,13.0
RANA Raviolis de tonyina i tomàquet,2.85,11.4
RANA Raviolis costelles amb salsa BBQ,2.85,11.4
RANA Raviolis de pernil i formatge,2.85,11.4
RANA Tortel·linis de parmesà,2.85,11.4
JR Base de Pasta Filo,2.49,9.96
BONPREU Base fina i rodona per a Pizza,1.25,5.43
BONPREU Nyoquis de patata,1.1,2.2
BONPREU Base rodona per a Pizza,1.2,4.62
BUITONI Base per a pizza Finíssima Maxi rectangular,2.95,8.43
BONPREU Raviolis farcits de carn,1.89,7.56
BUITONI Base de pasta de full rectangular,1.99,8.65
BONPREU Raviolis farcits d'espinacs i ricotta,1.89,7.56
BONPREU Tallarines a l'ou,1.19,4.76
RANA Raviolis  de ricotta i espinacs,3.95,15.8
BUITONI Base de pasta brisa rodona,2.35,10.22
CASA TARRADELLAS Base fina i rectangular per a Pizza familiar,1.88,4.7
RANA Raviolis farcits de crema carbassa i ceba,3.95,15.8
CASA TARRADELLAS Base rodona per a Pizza,1.37,5.27
BONPREU Base rodona de Pasta de Full,1.1,4.78
CASA TARRADELLAS Base quadrada de Pasta de Full,1.37,5.27
CASA TARRADELLAS Base per a Pizza 5 cereals,1.37,5.27
BONPREU Raviolis farcits de formatges,1.89,7.56
RANA Raviolis de galta de vedella,4.26,17.04
BONPREU Gira-sols farcits formatge de cabra i ceba,2.15,8.6
RANA Raviolis farcits de bolets,3.95,15.8
CASA TARRADELLAS Base quadrada per Empanada,1.45,6.3
BUITONI Massa per a crestes i postres,1.15,7.19
CERELIA Base per a Pizza sense gluten,2.47,9.5
RANA Tallarines fresques amb ou i espinacs,2.36,9.44
BUITONI Massa per crestes i postres,1.85,6.61
"RANA Raviolis tòfona blanca,bolets i formatge",4.26,17.04
RANA Raviolis farcits de pera i formatge,4.26,17.04
RANA Raviolis farcits de formatge de cabra i ceba caramel·litzada,4.26,17.04
BONPREU Raviolis farcits de pernil,1.89,7.56
GAROFALO Mezzelune farcit de pernil i parmesà,3.25,14.13
BONPREU Gira-sols farcits de bolets i tòfona,2.15,8.6
CERELIA Base de Pasta de Full sense gluten,2.79,9.96
RANA Raviolis de carxofes i pernil ibèric,4.26,17.04
RANA Raviolis farcits de gorgonzola i nous,4.26,17.04
GAROFALO Mezzelune farcit de vedella i merlot,3.25,14.13
GAROFALO Mezzelune farcit de bolets i tòfona,3.25,14.13
BONPREU Espaguetis a l'ou,1.19,4.76
RANA Tallarines Tagliatelle amb ou,2.36,9.44
GAROFALO Ravioli farcit de carbassa,3.25,14.13
SCHÄR Gnocchi sense gluten,3.99,13.3
RANA Espaguetis amb ou,2.36,9.44
BONPREU Gira-sols farcits de gorgonzola i nous,2.15,8.6
CASA TARRADELLAS Base de Pasta de Full amb mantega,1.95,7.5
LA NAPOLITANA Massa per a crestes,2.29,5.45
BUITONI Massa per a crestes argentines,2.29,6.54
BUITONI Base de pasta de full rodona,1.99,8.65
BUITONI Base per  Empanada,2.89,10.32
JR Base de Full de Brick en rull,1.99,11.06
BONPREU Llaços amb vegetals,1.05,2.1
GALLO Espirals amb vegetals,1.79,3.98
GAROFALO Pasta Primavera,1.79,3.58
BONPREU Macarrons gruixuts,0.79,1.58
BARILLA Espaguetis Nº5,1.69,3.38
BONPREU Fideus gruixuts,0.79,1.58
GALLO Tallarines,1.39,3.09
BONPREU Macarrons integrals ecològics Km0,1.45,2.9
BONPREU Espaguetis integrals ecològics Km0,1.45,2.9
BONPREU Fideus per fideuada,0.79,1.58
BONPREU Fideus cabell d'àngel,0.79,1.58
GALLO Pasta fina amb tomàquet i espinacs,1.78,4.45
BONPREU Galets mitjans,0.79,1.58
GALLO Macarrons Nº3,1.39,3.09
BONPREU Pasta pistons,0.79,1.58
BONPREU Pasta integral espirals ecològica Km0,1.45,2.9
BONPREU Pasta d'estrelles,0.79,1.58
BONPREU Pasta meravella Km0,0.49,1.96
GALLO Margarides amb vegetals,1.79,3.98
GAROFALO Pasta Radiatori,1.79,3.58
BONPREU Galets petits Km0,0.49,1.96
BONPREU Pasta de lletres Km0,0.49,1.96
BONPREU Pasta pinyons Km0,0.49,1.96
BONPREU Macarrons ecològics Km0,1.35,2.7
BONPREU Espirals,0.79,1.58
DE CECCO Macarrons Nº41,2.39,4.78
BONPREU Pasta petxines Km0,0.49,1.96
GALLO Espaguetis Nº3,1.0,2.5
DE CECCO Pasta Rigatoni Nº24,2.39,4.78
GALLO Espirals vegetals sense gluten,2.49,5.53
DE CECCO Espirals Nº34,2.39,4.78
GALLO Macarrons sense gluten,2.49,5.53
GALLO Llaços amb vegetals,1.79,3.98
BONPREU Macarrons amb vegetals,0.99,1.98
GALLO Fideus Nº2,1.39,3.09
DE CECCO Pasta espaguetis Nº11,2.39,4.78
GAROFALO Pasta pappardelle,2.95,5.9
BONPREU Pasta alimentària per a fideuà Km0,0.49,1.96
GALLO Fideus Nº4,1.39,3.09
EL PAVO Pasta per lasanya,1.65,8.25
BONPREU Espaguetis ecològics,1.35,2.7
GALLO Galets Nº0,1.39,3.09
BARILLA Tallarines Nº13 Bavette,1.69,3.38
BERRUTO Pasta Penne Rigate,1.39,2.78
DE CECCO Pasta Linguine Nº7,2.39,4.78
GALLO Fideus per fideuà,1.39,3.09
GALLO NATURE Espirals de pasta de colors,2.07,5.18
HETHSTIA Noodles Konjac,2.45,9.8
GALLO Espaguetis sense gluten,2.49,5.53
BERRUTO Pasta Fusilli,1.39,2.78
GALLO Fideus cabell d'àngel Nº0,1.0,2.5
GALLO Pasta pinyons,1.39,3.09
BONPREU Margarides vegetals Km0,1.05,2.1
BONPREU Macarrons a l'ou,1.39,2.78
DALLA COSTA Pasta de blat de fajol Tubetti,1.75,7.0
GAROFALO Pasta Casarecce,1.79,3.58
BERRUTO Pasta integral Penne Rigate,1.19,2.38
BONPREU Fideus cabell d'àngel Km0,0.49,1.96
SOUBRY Fideus d'ou instantànis,1.79,7.16
BONPREU Pasta pistons Km0,0.49,1.96
GALLO Macarrons Nº6,2.39,2.66
BERRUTO Espaguetis,1.39,2.78
GALLO Fideus sense gluten,2.49,5.53
SHIKOU Noodles de ramen fresc,0.99,5.5
BONPREU Galets ecològics Km0,1.35,2.7
GALLO Espaguetis Nº3,2.39,2.66
GAROFALO Espaguetis amb tinta de sèpia,2.99,5.98
GALLO Pasta pistons mitjans,1.39,3.09
BERRUTO Espaguetis sense gluten,1.65,4.13
DE CECCO Macarrons integrals,2.59,5.18
BONPREU Fideus cabell d'àngel ecològics Km0,1.35,2.7
BONPREU Pasta cabell d'àngel integral ecològica Km0,1.45,2.9
BERRUTO Espaguetis integrals,1.19,2.38
GALLO Pasta meravella,1.39,3.09
GALLO Pasta taurons sense gluten,2.49,5.53
GAROFALO Pasta Fusilli Lunghi,2.95,5.9
GALLO Nyoquis de patata,1.59,3.98
GAROFALO Galets,2.95,5.9
EL PAVO Plaques per canelons,1.59,12.72
4 HECTÁREAS Macarrons de farina d'espelta ecològics,2.25,9.0
DE CECCO Espaguetis integrals nº12,2.59,5.18
BONPREU Espaguetis a l'ou,1.39,2.78
BARILLA Pasta nyoquis,1.69,3.38
GALLO Plaques per a lasanya i canelons sense gluten,2.81,11.24
IFA Sopa de pollastre,0.49,6.13
ODINEA Espaguetis de llenties vermelles ecològics,3.55,14.2
4 HECTÁREAS Espaguetis d'espelta ecològics,2.35,9.4
BERRUTO Pasta Fusilli sense gluten,1.65,4.13
IFA Sopa d'au amb fideus,0.49,6.13
ODINEA Espaguetis de pèsols ecològics,3.55,14.2
4 HECTÁREAS Tallarines de farina d'espelta ecològica,3.35,13.4
GALLO Fideus perla,1.39,3.09
SAN MARTI Macarrons Km0,1.85,7.4
GAROFALO Canelons,2.19,8.76
SAN MARTI Pasta de galets Km0,1.85,7.4
SAN MARTÍ Pasta de fideus nº2 Km0,1.85,7.4
SAN MARTI Pasta de pistons llisos Km0,1.85,7.4
SAN MARTI Pasta meravella Km0,1.85,7.4
SAN MARTI Pasta d'espirals vegetals Km0,2.09,8.36
GALLO Espirals amb vegetals,1.0,2.5
BUITONI Base per a MiniPizza,1.88,
HELLMANN'S Maionesa,1.95,
HELLMANN'S Maionesa,2.99,
HELLMANN'S Maionesa,3.49,
EL PAVO Plaques per canelons,1.35,
BONPREU Llenties pardines,,
LUENGO Mongeta blanca,,
BONPREU Cigrons blancs,,
MANS Llentia pardina ecològica,,
BONPREU Mongetes blanques,,
ECOBASICS Cigrons pedrosillano ecològics,,
BONPREU Llenties Laird,,
LUENGO Cigrons lletosos,,
Cigronet ecològic,,
LUENGO Cigró mitjans,,
BONPREU Mongetes vermelles,,
BONPREU Mongetes blanques,,
BONPREU Cigrons,,
BONPREU Cigrons blancs,,
VEGAS BANEZANAS Cigrons,,
ECOBASICS Mongetes blanques ecològiques,,
MANS Cigrons cuits ecològics Km0,,
LUENGO Soja,,
BONPREU Soja verda ecològica,,
LUENGO Llentia pardina,,
IFA Soja texturitzada,,
BONPREU Llenties vermelles ecològiques,,
LUENGO Llenties pardines,,
BONPREU Llenties crimson,,
BONPREU Cigrons Pedrosillano,,
LUENGO Llenties ràpides,,
VEGAS BANEZANAS Llentia pardina,,
ECOBASICS Llenties pardina ecològiques,,
BONPREU Llenties ràpides,,
BONPREU Cigrons,,
LUENGO Mongetes negreta,,
LUENGO Cigrons,,
BUITONI Base per a pizza Finíssima rectangular,,
RANA Gnocchi fresc de patata,,
RANA Raviolis farcits de pollastre rostit,,
RANA Raviolis 4 formatges,,
BUITONI Raviolis farcits de carn brasejada,,
BUITONI Tortel·linis farcits de riccota i espinacs,,
BUITONI Cappelletti farcits de pernil,,
RANA Raviolis de tonyina i tomàquet,,
RANA Raviolis costelles amb salsa BBQ,,
RANA Raviolis de pernil i formatge,,
RANA Tortel·linis de parmesà,,
JR Base de Pasta Filo,,
BONPREU Base fina i rodona per a Pizza,,
BONPREU Nyoquis de patata,,
BONPREU Base rodona per a Pizza,,
BUITONI Base per a pizza Finíssima Maxi rectangular,,
BONPREU Raviolis farcits de carn,,
BUITONI Base de pasta de full rectangular,,
BONPREU Raviolis farcits d'espinacs i ricotta,,
BONPREU Tallarines a l'ou,,
RANA Raviolis  de ricotta i espinacs,,
BUITONI Base de pasta brisa rodona,,
CASA TARRADELLAS Base fina i rectangular per a Pizza familiar,,
RANA Raviolis farcits de crema carbassa i ceba,,
CASA TARRADELLAS Base rodona per a Pizza,,
BONPREU Base rodona de Pasta de Full,,
CASA TARRADELLAS Base quadrada de Pasta de Full,,
CASA TARRADELLAS Base per a Pizza 5 cereals,,
BONPREU Raviolis farcits de formatges,,
RANA Raviolis de galta de vedella,,
BONPREU Gira-sols farcits formatge de cabra i ceba,,
RANA Raviolis farcits de bolets,,
CASA TARRADELLAS Base quadrada per Empanada,,
BUITONI Massa per a crestes i postres,,
CERELIA Base per a Pizza sense gluten,,
RANA Tallarines fresques amb ou i espinacs,,
BUITONI Massa per crestes i postres,,
"RANA Raviolis tòfona blanca,bolets i formatge",,
RANA Raviolis farcits de pera i formatge,,
RANA Raviolis farcits de formatge de cabra i ceba caramel·litzada,,
BONPREU Raviolis farcits de pernil,,
GAROFALO Mezzelune farcit de pernil i parmesà,,
BONPREU Gira-sols farcits de bolets i tòfona,,
CERELIA Base de Pasta de Full sense gluten,,
RANA Raviolis de carxofes i pernil ibèric,,
RANA Raviolis farcits de gorgonzola i nous,,
GAROFALO Mezzelune farcit de vedella i merlot,,
GAROFALO Mezzelune farcit de bolets i tòfona,,
BONPREU Espaguetis a l'ou,,
RANA Tallarines Tagliatelle amb ou,,
GAROFALO Ravioli farcit de carbassa,,
SCHÄR Gnocchi sense gluten,,
RANA Espaguetis amb ou,,
BONPREU Gira-sols farcits de gorgonzola i nous,,
CASA TARRADELLAS Base de Pasta de Full amb mantega,,
LA NAPOLITANA Massa per a crestes,,
BUITONI Massa per a crestes argentines,,
BUITONI Base de pasta de full rodona,,
BUITONI Base per  Empanada,,
JR Base de Full de Brick en rull,,
BONPREU Llaços amb vegetals,,
GALLO Espirals amb vegetals,,
GAROFALO Pasta Primavera,,
BONPREU Macarrons gruixuts,,
BARILLA Espaguetis Nº5,,
BONPREU Fideus gruixuts,,
GALLO Tallarines,,
BONPREU Macarrons integrals ecològics Km0,,
BONPREU Espaguetis integrals ecològics Km0,,
BONPREU Fideus per fideuada,,
BONPREU Fideus cabell d'àngel,,
GALLO Pasta fina amb tomàquet i espinacs,,
BONPREU Galets mitjans,,
GALLO Macarrons Nº3,,
BONPREU Pasta pistons,,
BONPREU Pasta integral espirals ecològica Km0,,
BONPREU Pasta d'estrelles,,
BONPREU Pasta meravella Km0,,
GALLO Margarides amb vegetals,,
GAROFALO Pasta Radiatori,,
BONPREU Galets petits Km0,,
BONPREU Pasta de lletres Km0,,
BONPREU Pasta pinyons Km0,,
BONPREU Macarrons ecològics Km0,,
BONPREU Espirals,,
DE CECCO Macarrons Nº41,,
BONPREU Pasta petxines Km0,,
GALLO Espaguetis Nº3,,
DE CECCO Pasta Rigatoni Nº24,,
GALLO Espirals vegetals sense gluten,,
DE CECCO Espirals Nº34,,
GALLO Macarrons sense gluten,,
GALLO Llaços amb vegetals,,
BONPREU Macarrons amb vegetals,,
GALLO Fideus Nº2,,
DE CECCO Pasta espaguetis Nº11,,
GAROFALO Pasta pappardelle,,
BONPREU Pasta alimentària per a fideuà Km0,,
GALLO Fideus Nº4,,
EL PAVO Pasta per lasanya,,
BONPREU Espaguetis ecològics,,
GALLO Galets Nº0,,
BARILLA Tallarines Nº13 Bavette,,
BERRUTO Pasta Penne Rigate,,
DE CECCO Pasta Linguine Nº7,,
GALLO Fideus per fideuà,,
GALLO NATURE Espirals de pasta de colors,,
HETHSTIA Noodles Konjac,,
GALLO Espaguetis sense gluten,,
BERRUTO Pasta Fusilli,,
GALLO Fideus cabell d'àngel Nº0,,
GALLO Pasta pinyons,,
BONPREU Margarides vegetals Km0,,
BONPREU Macarrons a l'ou,,
DALLA COSTA Pasta de blat de fajol Tubetti,,
GAROFALO Pasta Casarecce,,
BERRUTO Pasta integral Penne Rigate,,
BONPREU Fideus cabell d'àngel Km0,,
SOUBRY Fideus d'ou instantànis,,
BONPREU Pasta pistons Km0,,
GALLO Macarrons Nº6,,
BERRUTO Espaguetis,,
GALLO Fideus sense gluten,,
SHIKOU Noodles de ramen fresc,,
BONPREU Galets ecològics Km0,,
GALLO Espaguetis Nº3,,
GAROFALO Espaguetis amb tinta de sèpia,,
GALLO Pasta pistons mitjans,,
BERRUTO Espaguetis sense gluten,,
DE CECCO Macarrons integrals,,
BONPREU Fideus cabell d'àngel ecològics Km0,,
BONPREU Pasta cabell d'àngel integral ecològica Km0,,
BERRUTO Espaguetis integrals,,
GALLO Pasta meravella,,
GALLO Pasta taurons sense gluten,,
GAROFALO Pasta Fusilli Lunghi,,
GALLO Nyoquis de patata,,
GAROFALO Galets,,
EL PAVO Plaques per canelons,,
4 HECTÁREAS Macarrons de farina d'espelta ecològics,,
DE CECCO Espaguetis integrals nº12,,
BONPREU Espaguetis a l'ou,,
BARILLA Pasta nyoquis,,
GALLO Plaques per a lasanya i canelons sense gluten,,
IFA Sopa de pollastre,,
ODINEA Espaguetis de llenties vermelles ecològics,,
4 HECTÁREAS Espaguetis d'espelta ecològics,,
BERRUTO Pasta Fusilli sense gluten,,
IFA Sopa d'au amb fideus,,
ODINEA Espaguetis de pèsols ecològics,,
4 HECTÁREAS Tallarines de farina d'espelta ecològica,,
GALLO Fideus perla,,
SAN MARTI Macarrons Km0,,
GAROFALO Canelons,,
SAN MARTI Pasta de galets Km0,,
SAN MARTÍ Pasta de fideus nº2 Km0,,
SAN MARTI Pasta de pistons llisos Km0,,
SAN MARTI Pasta meravella Km0,,
SAN MARTI Pasta d'espirals vegetals Km0,,
GALLO Espirals amb vegetals,,
BUITONI Base per a MiniPizza,,
HELLMANN'S Maionesa,,
HELLMANN'S Maionesa,,
HELLMANN'S Maionesa,,
EL PAVO Plaques per canelons,,
