name,price,price_per_kg
Macarrón Al Diante Dia bolsa 1 Kg,"1,20 €","(1,20 €/KILO)"
Espagueti Al Diante Dia bolsa 1 Kg,"1,20 €","(1,20 €/KILO)"
Hélice vegetal Al Diante Dia bolsa 500 g,"0,85 €","(1,70 €/KILO)"
Pasta de tiburones Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Tallarines Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Fideo cabellín Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Fideuá Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Gnocchi de patata Selección Mundial de Dia bandeja 500 g,"1,10 €","(2,20 €/KILO)"
Macarrón Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Macarrón integral Al Diante Dia bolsa 500 g,"1,20 €","(2,40 €/KILO)"
Pasta fresca rellena media luna de quesos Selección Mundial de Dia bolsa 250 g,"1,89 €","(7,56 €/KILO)"
Espirales 100% de lenteja roja Al Diante Dia bolsa 250 g,"1,65 €","(6,60 €/KILO)"
Plumas nº 6 Gallo bolsa 400 g,"1,00 €","(2,50 €/KILO)"
Fideo grueso Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Placas para lasaña El pavo caja 200 g,"1,65 €","(8,25 €/KILO)"
Tortiglioni Selección Mundial de Dia bolsa 500 g,"1,39 €","(2,78 €/KILO)"
Macarrón vegetal Al Diante Dia bolsa 500 g,"0,85 €","(1,70 €/KILO)"
Espaguetis nº 3 Gallo bolsa 400 g,"1,00 €","(2,50 €/KILO)"
Fideo Nº0 Gallo bolsa 400 g,"1,00 €","(2,50 €/KILO)"
Tortelloni de carne Gallo bolsa 200 g,"1,59 €","(7,95 €/KILO)"
Espagueti integral Al Diante Dia bolsa 500 g,"1,20 €","(2,40 €/KILO)"
Espagueti Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Pasta rigatoni nº31 La molisana bolsa 500 g,"1,79 €","(3,58 €/KILO)"
Piñones Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Pajarita vegetal Al Diante Dia bolsa 500 g,"1,05 €","(2,10 €/KILO)"
Fusilli Selección Mundial de Dia bolsa 500 g,"1,39 €","(2,78 €/KILO)"
Pasta fresca rellena Gran Tortello de carne Selección Mundial de Dia bolsa 250 g,"1,89 €","(7,56 €/KILO)"
Pluma rayada n 5 Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Fideo entrefino Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Pasta fresca rellena Gran Tortello de prosciutto Selección Mundial de Dia bolsa 250 g,"1,89 €","(7,56 €/KILO)"
Pasta linguine Selección Mundial de Dia bolsa 500 g,"1,39 €","(2,78 €/KILO)"
Tagliata al huevo Al Diante Dia bolsa 500 g,"1,40 €","(2,80 €/KILO)"
Tallarines Gallo bolsa 450 g,"1,39 €","(3,09 €/KILO)"
Hélices con tomate y espinacas pasta fina 3 minutos Gallo bolsa 400 g,"1,79 €","(4,48 €/KILO)"
Fusilli corti bucati nº 108 La molisana bolsa 500 g,"1,79 €","(3,58 €/KILO)"
Hélices con tomate y espinacas Gallo bolsa 450 g,"1,79 €","(3,98 €/KILO)"
Macarrón rayado sin gluten Al Diante Dia bolsa 500 g,"1,95 €","(3,90 €/KILO)"
Placas para canelones precocidas El pavo caja 125 g,"1,59 €","(12,72 €/KILO)"
Pasta tagliatelle nido Garofalo bolsa 500 g,"2,95 €","(5,90 €/KILO)"
Hélices 100% de lenteja roja Gallo bolsa 250 g,"1,99 €","(7,96 €/KILO)"
Sopa maravilla Al Diante Dia bolsa 500 g,"0,80 €","(1,60 €/KILO)"
Placas para canelones El pavo caja 125 g,"1,35 €","(10,80 €/KILO)"
Pasta penne rigate Barilla caja 500 g,"1,40 €","(2,80 €/KILO)"
Plumas proteína Gallo bolsa 400 g,"1,70 €","(4,25 €/KILO)"
Plumas XL al bronce Gallo bolsa 450 g,"1,39 €","(3,09 €/KILO)"
Plumas rayadas cocción rápida Al Diante Dia bolsa 500 g,"0,85 €","(1,70 €/KILO)"
Espaguetis sin gluten Al Diante Dia bolsa 500 g,"2,00 €","(4,00 €/KILO)"
Espaguetis al huevo Al Diante Dia bolsa 500 g,"1,40 €","(2,80 €/KILO)"
Linguine nº 6 La molisana bolsa 500 g,"1,79 €","(3,58 €/KILO)"
Hélices 100% de garbanzo Gallo bolsa 250 g,"1,99 €","(7,96 €/KILO)"
Espaguetis con tinta de calamar La molisana bolsa 500 g,"3,79 €","(7,58 €/KILO)"
Plumas nº 3 Gallo bolsa 450 g,"1,39 €","(3,09 €/KILO)"
Fideuá Gallo bolsa 450 g,"1,45 €","(3,22 €/KILO)"
Soja texturizada Luengo bolsa 200 g,"2,70 €","(13,50 €/KILO)"
Pasta fresca rellena con ternera gallega Gallo bandeja 250 g,"2,96 €","(11,84 €/KILO)"
Pasta fresca rellena con setas del bosque Gallo bandeja 250 g,"2,96 €","(11,84 €/KILO)"
Pasta penne Selección Mundial de Dia bolsa 500 g,"1,39 €","(2,78 €/KILO)"
Plumas rayadas Gallo bolsa 450 g,"1,39 €","(3,09 €/KILO)"
Espaguetis pasta fina 3 minutos Gallo 400 g,"1,39 €","(3,48 €/KILO)"
Tortelloni de queso Gallo bolsa 200 g,"1,59 €","(7,95 €/KILO)"
Pasta radiatori Garofalo bolsa 500 g,"1,79 €","(3,58 €/KILO)"
Pasta elicoidale Garofalo bolsa 500 g,"1,79 €","(3,58 €/KILO)"
Pasta de estrellas Gallo bolsa 450 g,"1,45 €","(3,22 €/KILO)"
Fideos sin gluten Gallo bolsa 450 g,"2,49 €","(5,53 €/KILO)"
Plumas sin gluten Gallo bolsa 450 g,"2,49 €","(5,53 €/KILO)"
Espagueti nº 5 Barilla caja 500 g,"1,40 €","(2,80 €/KILO)"
Margaritas con tomate y espinacas Gallo bolsa 450 g,"1,79 €","(3,98 €/KILO)"
Espagueti integral Gallo bolsa 450 g,"1,89 €","(4,20 €/KILO)"
Ñoquis bolitas de patata Gallo bandeja 400 g,"1,49 €","(3,73 €/KILO)"
Fideo nº 1 Gallo bolsa 450 g,"1,39 €","(3,09 €/KILO)"
Fideo nº 4 Gallo bolsa 450 g,"1,45 €","(3,22 €/KILO)"
Plumas rayadas integral Gallo bolsa 450 g,"1,89 €","(4,20 €/KILO)"
Espaguetis al huevo Gallo bolsa 450 g,"1,75 €","(3,89 €/KILO)"
